RIC,Date,Total Equity,Company Market Cap,Revenue,Full-Time Employees,"Cash Dividend Paid, Common, Discrete"
DGRG.DE,31/12/2019,9.07272,23.52,6.14364,27,
DGRG.DE,31/12/2020,7.96724,27.04,3.42846,25,
DGRG.DE,31/12/2021,9.77987,39.36,5.66197,25,
MCEG.DE,31/12/2004,0.133,,1.138,62,
MCEG.DE,31/12/2005,0,30.301695,1.255,28,
MCEG.DE,31/12/2006,0,14.140791,1.255,28,
MCEG.DE,31/12/2007,1.597,7.8784407,1.107,33,
MCEG.DE,31/12/2008,1.542,5.6563164,1.447,31,
MCEG.DE,31/12/2009,1.12,4.2422373,1.543,37,
MCEG.DE,31/12/2010,0.64868,5.47450623,0.45272,38,
MCEG.DE,31/12/2011,0.89128,5.8583277,2.23251,36,
MCEG.DE,31/12/2012,1.23127,4.044266226,2.78569,38,
MCEG.DE,31/12/2013,1.46183,3.8382147,2.87283,,
MCEG.DE,31/12/2014,1.81505,3.95942148,2.96747,,
MCEG.DE,31/12/2015,2.21439,6.609809736,3.07611,,
MCEG.DE,31/12/2016,2.64525,5.308856964,3.02577,,
MCEG.DE,31/12/2017,2.90642,6.439715352,3.09924,,
MCEG.DE,31/12/2018,11.55494,13.2216378,2.63532,,
MCEG.DE,31/12/2019,11.55494,17.8325451,2.63532,,
MCEG.DE,31/12/2020,8.18551,16.39927512,0.097,29,
MCEG.DE,31/12/2021,10.00438,150.6933281,1.07781,233,
GILG.DE,31/12/1996,44.679763,,399.109422,2644,
GILG.DE,31/12/1997,40.610901,,433.085798,2324,
GILG.DE,31/12/1998,42.117679,94.22244685,467.533074,2356,
GILG.DE,31/12/1999,76.360438,15.05384548,597.687054,2617,0
GILG.DE,31/12/2000,101.962,177.869644,710.19,3340,6.1
GILG.DE,31/12/2001,181.344,268.8674654,945.642,4637,10.846
GILG.DE,31/12/2002,193.825,112.6297653,1059.069,5234,17.328
GILG.DE,31/12/2003,193.825,245.4751295,1059.069,5234,17.328
GILG.DE,31/12/2004,187.594,225.1730156,1004.337,5028,0
GILG.DE,31/12/2005,249.503,255.0517427,1077.68,5174,
GILG.DE,31/12/2006,265.92,415.7040288,1160.503,5272,0
GILG.DE,31/12/2007,288.976,801.0963055,1352.401,5558,4.33
GILG.DE,31/12/2008,329.864,339.9246485,1592.899,5998,8.661
GILG.DE,31/12/2009,379.973,516.444094,1948.152,6451,15.156
GILG.DE,31/12/2010,381.053,761.2194501,1267.687,5450,17.321
GILG.DE,31/12/2011,406.33,586.6403693,1430.131,5445,4.558
GILG.DE,31/12/2012,643.058,917.5657057,1756.233,6032,0
GILG.DE,31/12/2013,690.746,1824.636561,2037.362,6496,14.591
GILG.DE,31/12/2014,1070.059,1851.8,2054.219,6722,20.427
GILG.DE,31/12/2015,1131.394,3001.389212,2229.013,7166,39.409
GILG.DE,31/12/2016,1210.899,3401.784621,2304.721,7462,43.35
GILG.DE,31/12/2017,1147.758,3627.204084,2265.709,7282,47.291
GILG.DE,31/12/2018,1161.507,3394.959001,2348.451,7101,0
GILG.DE,31/12/2019,1193.235,3337.942046,2655.128,7503,
GILG.DE,31/12/2020,1267.114,3239.419553,2701.489,7245,
GILG.DE,31/12/2021,1245.665,3322.178447,1831.293,6672,
LUS1n.DE,31/12/2002,5.58,,115.208,71,
LUS1n.DE,31/12/2003,4.855,,130.64,58,
LUS1n.DE,31/12/2004,4.586,,11.244,51,
LUS1n.DE,31/12/2005,4.586,,11.244,51,
LUS1n.DE,31/12/2006,6.519,33.41052,17.055,46,
LUS1n.DE,31/12/2007,13.483,18.46702,28.292,49,
LUS1n.DE,31/12/2008,13.029,5.94594,26.725,50,
LUS1n.DE,31/12/2009,6.38819,12.61546,6.54582,52,
LUS1n.DE,31/12/2010,6.35696,19.1906,256.33264,,
LUS1n.DE,31/12/2011,20.20303,22.61974,416.61842,46,0
LUS1n.DE,31/12/2012,26.01313,17.86928,578.48967,46,1.81
LUS1n.DE,31/12/2013,22.02048,25.70414354,125.34744,49,3.753
LUS1n.DE,31/12/2014,23.3759,46.8754,122.6537,47,0
LUS1n.DE,31/12/2015,27.50348,52.97864,257.80525,,0.849
LUS1n.DE,31/12/2016,27.64305,53.33926715,250.20638,,3.497
LUS1n.DE,31/12/2017,30.72602,78.3354,196.30327,,4.499
LUS1n.DE,31/12/2018,34.96428,53.482,293.08523,,3.618
LUS1n.DE,31/12/2019,29.89114,42.40808,290.61435,53,5.348
LUS1n.DE,31/12/2020,27.45465,191.2768,244.84939,54,3.146
LUS1n.DE,31/12/2021,65.00916,257.6574,691.85251,65,0
BIJG.DE,31/12/1996,13.354947,,41.242858,560,
BIJG.DE,31/12/1997,13.376933,,43.654622,585,
BIJG.DE,31/12/1998,14.539099,,56.319325,704,
BIJG.DE,31/12/1999,26.038056,43.83,78.320731,732,2.947597695
BIJG.DE,31/12/2000,26.038056,83.403,78.320731,732,2.947597695
BIJG.DE,31/12/2001,32.616339,83.16,88.695868,825,4.169073999
BIJG.DE,31/12/2002,38.7,105.84,95.305,941,5.732
BIJG.DE,31/12/2003,46.799,110.7,122.569,1209,5.747
BIJG.DE,31/12/2004,72.325,781.245,164.895,1518,7.053
BIJG.DE,31/12/2005,72.325,1850.85,164.895,1518,7.053
BIJG.DE,31/12/2006,156.315,1210.545,301.633,2391,24.3
BIJG.DE,31/12/2007,191.601,934.173,347.962,2840,44.55
BIJG.DE,31/12/2008,218.73,672.3,366.91553,3187,52.65
BIJG.DE,31/12/2009,232.6906,951.75,375.731,3345,52.196
BIJG.DE,31/12/2010,255.99675,884.115,390.07372,3452,51.27
BIJG.DE,31/12/2011,260.15328,591.3,377.90741,3410,55.214
BIJG.DE,31/12/2012,256.42293,502.2,374.65016,3319,51.253
BIJG.DE,31/12/2013,253.79201,596.97,360.82622,3153,43.368
BIJG.DE,31/12/2014,238.33224,410.346,356.32414,3117,43.368
BIJG.DE,31/12/2015,237.73173,461.781,335.09837,3009,27.598
BIJG.DE,31/12/2016,240.81152,446.877,330.39129,2896,23.655
BIJG.DE,31/12/2017,242.23674,402.975,336.27279,2994,23.655
BIJG.DE,31/12/2018,239.47768,270.945,326.59459,2933,23.655
BIJG.DE,31/12/2019,234.6626,392.04,321.61456,2895,23.655
BIJG.DE,31/12/2020,229.49035,184.68,333.95248,2863,23.35
BIJG.DE,31/12/2021,195.30585,176.1589555,204.87459,2542,0
RHKG.DE,31/12/1996,91.82293,241.8253958,316.833848,4365,5.092467137
RHKG.DE,31/12/1997,108.121385,251.9913552,405.23061,5187,6.108915396
RHKG.DE,31/12/1998,120.008924,717.6418363,442.764045,5242,6.109426688
RHKG.DE,31/12/1999,140.237,508.3197738,492.334,6459,
RHKG.DE,31/12/2000,265.836,1520.64,615.012,9145,8.9
RHKG.DE,31/12/2001,319.013,1507.4208,669.114,9357,11.3
RHKG.DE,31/12/2002,374.09,771.7242465,697.013,8740,13.1
RHKG.DE,31/12/2003,429.375,1123.2,879.492,12852,15.7
RHKG.DE,31/12/2004,487.308,1172.2752,956.265,13408,18.7
RHKG.DE,31/12/2005,545.924,1111.104,1044.753,14977,17.8
RHKG.DE,31/12/2006,609.219,1904.6016,1415.788,21226,20.4
RHKG.DE,31/12/2007,691.097,2237.4144,1933.043,30409,23.3
RHKG.DE,31/12/2008,769.711,1769.8176,2024.754,32222,25.9
RHKG.DE,31/12/2009,846.02,2366.53184,2130.277,33679,29
RHKG.DE,31/12/2010,1376.095,2276.68104,2320.089,36882,36.3
RHKG.DE,31/12/2011,1458.879,2034.77504,2550.384,38058,41.5
RHKG.DE,31/12/2012,1554.981,2117.02308,2629.148,39325,51.1
RHKG.DE,31/12/2013,1581.309,2938.12116,2864.909,43059,62.2
RHKG.DE,31/12/2014,1644.957,1704.411743,3013.835,43363,34.6
RHKG.DE,31/12/2015,1228.543,1853.52117,1510.519,15602,34.6
RHKG.DE,31/12/2016,1087.964,1718.25698,1108.189,15654,58.8
RHKG.DE,31/12/2017,1090.555,2000.838604,1176.349,16486,53.6
RHKG.DE,31/12/2018,1102.301,1477.192088,1211.077,16688,23.4
RHKG.DE,31/12/2019,1135.319,1170.503976,1232.908,16985,14.7
RHKG.DE,31/12/2020,1161.504,1104.880755,1303.898,18142,19.4
RHKG.DE,31/12/2021,1165.329,962.9203186,1360.159,18449,0
UBKG.DE,31/12/2000,19.952659,,,68,
UBKG.DE,31/12/2001,20.18274,,,90,
UBKG.DE,31/12/2002,23.637029,25.388046,,102,
UBKG.DE,31/12/2003,24.38,28.1149102,,97,
UBKG.DE,31/12/2004,25.982,32.440281,,112,
UBKG.DE,31/12/2005,27.276,59.5678783,,120,
UBKG.DE,31/12/2006,33.072,90.273312,,53,
UBKG.DE,31/12/2007,36.526,93.7624032,,55,
UBKG.DE,31/12/2008,39.12,94.5931392,,71,
UBKG.DE,31/12/2009,42.944,93.873168,,75,2.768
UBKG.DE,31/12/2010,48.21779,95.7007872,,77,2.769
UBKG.DE,31/12/2011,54.30139,137.6197258,,70,3.988
UBKG.DE,31/12/2012,59.88187,171.131616,,79,5.427
UBKG.DE,31/12/2013,66.38734,215.99136,,99,5.538
UBKG.DE,31/12/2014,73.74232,283.004064,,75,6.092
UBKG.DE,31/12/2015,81.63842,465.3229248,,113,6.646
UBKG.DE,31/12/2016,90.0255,442.228464,,114,7.2
UBKG.DE,31/12/2017,98.42631,300.4329139,,118,7.754
UBKG.DE,31/12/2018,108.01347,238.3410424,,133,9.415
UBKG.DE,31/12/2019,119.19416,350.5386814,,153,8.922
UBKG.DE,31/12/2020,150.56189,427.0755114,,185,9.319
UBKG.DE,31/12/2021,162.89091,692.7564787,,185,10.103
YOCG.DE,31/12/2002,0,,1.842,,
YOCG.DE,31/12/2003,0,,2.227,18,
YOCG.DE,31/12/2004,0,,3.454,20,
YOCG.DE,31/12/2005,0,,3.454,20,
YOCG.DE,31/12/2006,1.195,34.10751579,5.325,30,
YOCG.DE,31/12/2007,12.108,23.17001073,9.117,68,
YOCG.DE,31/12/2008,11.74,20.65000956,12.119,133,
YOCG.DE,31/12/2009,12.251,23.62501094,23.682,162,
YOCG.DE,31/12/2010,11.86888,61.61055,26.301,173,
YOCG.DE,31/12/2011,17.15562,27.95901294,30.78164,187,
YOCG.DE,31/12/2012,10.98138,19.28038893,32.09799,95,
YOCG.DE,31/12/2013,2.70257,5.028731316,21.72034,105,
YOCG.DE,31/12/2014,-4.67839,5.8113305,11.91735,93,
YOCG.DE,31/12/2015,-1.65025,6.224946,9.08272,60,
YOCG.DE,31/12/2016,-2.51471,11.8547208,9.73462,52,
YOCG.DE,31/12/2017,-3.60657,27.26915082,11.95955,48,
YOCG.DE,31/12/2018,-4.09151,12.1840186,14.37155,53,
YOCG.DE,31/12/2019,-3.89461,13.8305076,13.94055,46,
YOCG.DE,31/12/2020,-4.35277,26.343824,14.85407,51,
YOCG.DE,31/12/2021,-4.01481,46.2371574,15.4924,48,
L1OGk.DE,31/12/2002,3.612,,15.143,23,
L1OGk.DE,31/12/2003,9.65,,41.849,28,
L1OGk.DE,31/12/2004,9.65,,41.849,28,
L1OGk.DE,31/12/2005,16.304,198.7400052,52.056,50,
L1OGk.DE,31/12/2006,75.175,189.240005,71.006,72,
L1OGk.DE,31/12/2007,80.478,191.2666717,72.015,94,
L1OGk.DE,31/12/2008,86.177,51.02872167,90.096,130,
L1OGk.DE,31/12/2009,66.28,22.14213858,48.093,157,
L1OGk.DE,31/12/2010,1.843,23.16016794,20.024,108,
L1OGk.DE,31/12/2011,7.974,27.3926626,19.307,113,
L1OGk.DE,31/12/2012,18.39,14.69641095,14.29,78,
L1OGk.DE,31/12/2013,15.638,11.53736934,13.671,70,
L1OGk.DE,31/12/2014,15.977,10.66748793,13.292,55,
L1OGk.DE,31/12/2015,16.829,13.76243293,10.04,52,
L1OGk.DE,31/12/2016,18.391,26.37112896,11.424,43,
L1OGk.DE,31/12/2017,19.145,20.93208361,10.42,44,
L1OGk.DE,31/12/2018,18.554,46.63477678,7.458,34,
L1OGk.DE,31/12/2019,20.786,59.5973759,7.918,36,
L1OGk.DE,31/12/2020,38.145,82.2486668,8.223,68,
L1OGk.DE,31/12/2021,37.87,201.5845971,27.739,69,
E4CG.DE,31/12/2002,0.833,,15.045,,
E4CG.DE,31/12/2003,1.349,,18.48,53,
E4CG.DE,31/12/2004,1.644,,26.24,61,
E4CG.DE,31/12/2005,1.644,,26.24,61,
E4CG.DE,31/12/2006,2.334,42.84,34.812,85,
E4CG.DE,31/12/2007,19.008,29.016,56.338,116,
E4CG.DE,31/12/2008,26.473,14.235,93.178,217,
E4CG.DE,31/12/2009,21.861,16.38,105.451,222,
E4CG.DE,31/12/2010,19.27659,12.8856,98.6988,193,
E4CG.DE,31/12/2011,19.38783,18.7161,98.31401,184,
E4CG.DE,31/12/2012,20.51758,19.89,84.48133,189,
E4CG.DE,31/12/2013,17.58917,24.8079,94.29809,189,
E4CG.DE,31/12/2014,18.16352,34.60509,91.23048,200,
E4CG.DE,31/12/2015,18.53129,29.484,101.49858,217,
E4CG.DE,31/12/2016,19.59227,28.0098,106.3135,212,0.5616
E4CG.DE,31/12/2017,19.61878,37.6623,116.61952,241,0.8073
E4CG.DE,31/12/2018,19.27742,25.4475,120.62352,239,0.807
E4CG.DE,31/12/2019,19.4045,23.166,98.85699,264,0.456
E4CG.DE,31/12/2020,18.78269,35.802,82.7499,261,0.456
E4CG.DE,31/12/2021,19.83273,135.486,98.29994,271,0
QBYn.DE,31/12/1997,0.197359,,1.643804,,
QBYn.DE,31/12/1998,0.780743,,2.798301,,
QBYn.DE,31/12/1999,0.780743,,2.798301,,
