Name (or Code),RIC,ISIN,CUSIP/CINS,Type of Equity,Exchange,Country of Issuer
Aareal Bank AG,ARLG.DE,DE0005408116,D00379111,Ordinary Share,Xetra,Germany
Traton SE,8TRA.DE,DE000TRAT0N7,D8T4KC101,Ordinary Share,Xetra,Germany
PNE AG,PNEGn.DE,DE000A0JBPG2,D6S45C137,Ordinary Share,Xetra,Germany
secunet Security Networks AG,YSNG.DE,DE0007276503,D69074108,Ordinary Share,Xetra,Germany
Immatics NV,IMTX.O,NL0015285941,N44445109,Ordinary Share,NASDAQ Capital Market Consolidated,Germany
Norma Group SE,NOEJ.DE,DE000A1H8BV3,D5813Z104,Ordinary Share,Xetra,Germany
Fielmann AG,FIEG.DE,DE0005772206,D2617N114,Ordinary Share,Xetra,Germany
BayWa AG,BYWGnx.DE,DE0005194062,D08232114,Ordinary Share,Xetra,Germany
Instone Real Estate Group SE,INS2.DE,DE000A2NBX80,D3706C100,Ordinary Share,Xetra,Germany
Northern Data AG,NB2.DE,DE000A0SMU87,D5S1LG112,Ordinary Share,Xetra,Germany
PVA TePla AG,TPEG.DE,DE0007461006,D8313K106,Ordinary Share,Xetra,Germany
SFC Energy AG,F3CG.DE,DE0007568578,D8288L113,Ordinary Share,Xetra,Germany
Amadeus Fire AG,AMDG.DE,DE0005093108,D0349N105,Ordinary Share,Xetra,Germany
Ceconomy AG,CECG.DE,DE0007257503,D1497L107,Ordinary Share,Xetra,Germany
Sartorius AG,SATG.DE,DE0007165607,D6705R101,Ordinary Share,Xetra,Germany
Vivoryon Therapeutics NV,VVY.AS,NL00150002Q7,N9355S105,Ordinary Share,Euronext Amsterdam,Germany
Borussia Dortmund GmbH & Co KGaA,BVB.DE,DE0005493092,D9343K108,Ordinary Share,Xetra,Germany
Stratec SE,SBSG.DE,DE000STRA555,D8T6E3103,Ordinary Share,Xetra,Germany
1&1 AG,1U1.DE,DE0005545503,D5934B101,Ordinary Share,Xetra,Germany
Energiekontor AG,EKTG.DE,DE0005313506,D1336N108,Ordinary Share,Xetra,Germany
Steico SE,ST5G.DE,DE000A0LR936,D7632P119,Ordinary Share,Xetra,Germany
LPKF Laser & Electronics AG,LPKG.DE,DE0006450000,D5075P109,Ordinary Share,Xetra,Germany
Wacker Neuson SE,WACGn.DE,DE000WACK012,D9553L101,Ordinary Share,Xetra,Germany
